00M;Thigpen ;Bay Springs;MS;USA;3.195.376.472;-8.923.450.472
00R;Livingston Municipal;Livingston;TX;USA;3.068.586.111;-9.501.792.778
00V;Meadow Lake;Colorado Springs;CO;USA;3.894.574.889;-1.045.698.933
01G;Perry-Warsaw;Perry;NY;USA;4.274.134.667;-7.805.208.056
01J;Hilliard Airpark;Hilliard;FL;USA;306.880.125;-8.190.594.389
01M;Tishomingo County;Belmont;MS;USA;3.449.166.667;-8.820.111.111
02A;Gragg-Wade ;Clanton;AL;USA;3.285.048.667;-8.661.145.333
02C;Capitol;Brookfield;WI;USA;4.308.751;-8.817.786.917
02G;Columbiana County;East Liverpool;OH;USA;4.067.331.278;-8.064.140.639
03D;Memphis Memorial;Memphis;MO;USA;4.044.725.889;-9.222.696.056
04M;Calhoun County;Pittsboro;MS;USA;3.393.011.222;-8.934.285.194
04Y;Hawley Municipal;Hawley;MN;USA;4.688.384.889;-9.635.089.861
05C;Griffith-Merrillville ;Griffith;IN;USA;4.151.961.917;-8.740.109.333
05F;Gatesville - City/County;Gatesville;TX;USA;3.142.127.556;-9.779.696.778
05U;Eureka;Eureka;NV;USA;3.960.416.667;-1.160.050.597
06A;Moton  Municipal;Tuskegee;AL;USA;3.246.047.167;-8.568.003.611
06C;Schaumburg;Chicago/Schaumburg;IL;USA;4.198.934.083;-8.810.124.278
06D;Rolla Municipal;Rolla;ND;USA;4.888.434.111;-9.962.087.694
06M;Eupora Municipal;Eupora;MS;USA;3.353.456.583;-8.931.256.917
06N;Randall ;Middletown;NY;USA;4.143.156.583;-7.439.191.722
06U;Jackpot/Hayden ;Jackpot;NV;USA;4.197.602.222;-1.146.580.911
07C;Dekalb County;Auburn;IN;USA;4.130.716.667;-8.506.433.333
07F;Gladewater Municipal;Gladewater;TX;USA;3.252.883.861;-9.497.174.556
07G;Fitch H Beach;Charlotte;MI;USA;4.257.450.861;-8.481.143.139
07K;Central City Municipal;Central City;NE;USA;4.111.668.056;-9.805.033.639
08A;Wetumpka Municipal;Wetumpka;AL;USA;3.252.943.944;-8.632.822.139
08D;Stanley Municipal;Stanley;ND;USA;4.830.079.861;-1.024.063.514
08K;Harvard State;Harvard;NE;USA;4.065.138.528;-9.807.978.667
08M;Carthage-Leake County;Carthage;MS;USA;3.276.124.611;-8.953.007.139
09A;Butler-Choctaw County;Butler;AL;USA;3.211.931.306;-881.274.625
09J;Jekyll Island;Jekyll Island;GA;USA;3.107.447.222;-8.142.777.778
09K;Sargent Municipal;Sargent;NE;USA;4.163.695.083;-9.934.038.139
09M;Charleston Municipal;Charleston;MS;USA;3.399.150.222;-90.078.145
09W;South Capitol Street;Washington;DC;USA;3.886.872.333;-7.700.747.583
0A3;Smithville Municipal;Smithville;TN;USA;3.598.531.194;-8.580.931.806
0A8;Bibb County;Centreville;AL;USA;3.293.679.056;-8.708.888.306
0A9;Elizabethton Municipal;Elizabethton;TN;USA;3.637.094.306;-8.217.374.111
0AK;Pilot Station;Pilot Station;AK;USA;6.193.396.417;-1.628.929.358
0B1;Col. Dyke ;Bethel;ME;USA;4.442.506.444;-7.080.784.778
0B4;Hartington Municipal;Hartington;NE;USA;4.260.355.556;-9.725.263.889
0B5;Turners Falls;Montague;MA;USA;4.259.136.361;-7.252.275.472
0B7;Warren-Sugar Bush;Warren;VT;USA;4.411.672.722;-7.282.705.806
0B8;Elizabeth ;Fishers Island;NY;USA;4.125.130.806;-7.203.161.139
0C0;Dacy;Chicago/Harvard;IL;USA;4.240.418.556;-8.863.343.222
0C4;Pender Municipal;Pender;NE;USA;4.211.388.722;-9.672.892.556
0D1;South Haven Municipal;South Haven;MI;USA;4.235.083.333;-8.625.613.889
0D8;Gettysburg Municipal;Gettysburg;SD;USA;4.498.730.556;-999.535
0D9;Moriarty;Moriarty;NM;USA;3.498.560.639;-1.060.094.661
0D10;Crownpoint;Crownpoint;NM;USA;3.571.765.889;-1.082.015.961
0F2;Bowie Municipal;Bowie;TX;USA;3.360.166.667;-9.777.556
0F4;Loup City Municipal;Loup City;NE;USA;4.129.028.694;-9.899.064.278
0F7;Fountainhead Lodge Airpark;Eufaula;OK;USA;3.538.898.833;-9.560.165.111
0F8;William R Pogue Municipal;Sand Springs;OK;USA;3.617.528;-9.615.181.028
0F9;Tishomingo Airpark;Tishomingo;OK;USA;3.419.592.833;-9.667.555.694
0G0;North Buffalo Suburban;Lockport;NY;USA;4.310.318.389;-7.870.334.583
0G3;Tecumseh Municipal;Tecumseh;NE;USA;4.039.944.417;-9.617.139.694
0G6;Williams County;Bryan;OH;USA;4.146.736.111;-8.450.655.556
0G7;Finger Lakes Regional;Seneca Falls;NY;USA;4.288.062.278;-7.678.162.028
0H1;Trego Wakeeney ;Wakeeney;KS;USA;390.044.525;-9.989.289.917
0I8;Cynthiana-Harrison County;Cynthiana;KY;USA;3.836.674.167;-8.428.410.056
0J0;Abbeville Municipal;Abbeville;AL;USA;3.160.016.778;-8.523.882.222
0J4;Florala Municipal;Florala;AL;USA;3.104.247.361;-8.631.156.111
0J6;Headland Municipal;Headland;AL;USA;31.364.895;-8.530.965.556
0K7;Humboldt Municipal;Humboldt;IA;USA;427.360.825;-9.424.524.167
0L5;Goldfield;Goldfield;NV;USA;3.771.798.833;-1.172.384.119
0L7;Jean;Jean;NV;USA;3.576.827.222;-1.153.296.378
0L9;Echo Bay;Overton;NV;USA;3.631.108.972;-1.144.638.672
0M0;Dumas Municipal;Dumas;AR;USA;338.845.475;-9.153.429.111
0M1;Scott ;Parsons;TN;USA;3.563.778;-88.127.995
